SCHOOL_ID,SCHOOL_NAME,ACTIVE_USER_SCORE_SCHOOL,USAGE_SCORE_SCHOOL,CWP_SCORE_SCHOOL,RE_SCORE_SCHOOL,E_SCORE_SCHOOL,ACTIVE_SCHOOL,SCORE_TYPE
5f2bcaaeba0be61b0c1e1b41,CASE HIGH,12.0,22.0,17.0,28.0,20.0,1,0-25
5f2bcaafba0be61b0c1e1ca4,FRATT ELEMENTARY,54.0,30.0,49.0,53.0,46.0,1,26-50
5f2bcaafba0be61b0c1e1cc6,GIFFORD SCHOOL,63.0,34.0,44.0,40.0,45.0,1,26-50
5f2bcaafba0be61b0c1e1cce,GILMORE FINE ARTS,67.0,33.0,58.0,60.0,54.0,1,51-75
5f2bcaafba0be61b0c1e1d64,HORLICK HIGH,4.0,22.0,11.0,31.0,17.0,0,0-25
5f2bcaafba0be61b0c1e1da1,JANES ELEMENTARY,41.0,33.0,43.0,53.0,42.0,1,26-50
5f2bcaafba0be61b0c1e1db6,JEFFERSON LIGHTHOUSE ELEMENTARY,41.0,29.0,43.0,49.0,40.0,1,26-50
5f2bcaafba0be61b0c1e1dbc,JERSTAD-AGERHOLM SCHOOL,48.0,30.0,35.0,36.0,37.0,1,26-50
5f2bcaafba0be61b0c1e1dcd,JULIAN THOMAS ELEMENTARY,30.0,25.0,31.0,37.0,31.0,1,26-50
5f2bcaafba0be61b0c1e1dfb,KNAPP ELEMENTARY,60.0,31.0,46.0,49.0,46.0,1,26-50
5f2bcaafba0be61b0c1e1f36,MITCHELL SCHOOL,41.0,29.0,42.0,41.0,38.0,1,26-50
5f2bcab0ba0be61b0c1e2009,PARK HIGH,19.0,23.0,10.0,36.0,22.0,1,0-25
5f2bcab1ba0be61b0c1e2097,RED APPLE ELEMENTARY,62.0,32.0,52.0,43.0,47.0,1,26-50
5f2bcab1ba0be61b0c1e20f2,ROOSEVELT ELEMENTARY,53.0,33.0,64.0,58.0,52.0,1,51-75
5f2bcab1ba0be61b0c1e2127,SCHULTE ELEMENTARY,55.0,31.0,52.0,63.0,50.0,1,26-50
5f2bcab1ba0be61b0c1e21a4,STARBUCK MIDDLE,52.0,32.0,47.0,48.0,45.0,1,26-50
5f2bcab1ba0be61b0c1e2249,WADEWITZ ELEMENTARY,36.0,25.0,27.0,29.0,29.0,1,26-50
5f2bcab1ba0be61b0c1e22a7,WEST RIDGE ELEMENTARY,41.0,26.0,56.0,50.0,43.0,1,26-50
5f2bcad7ba0be61b0c1e9b67,DR. JONES ,51.0,28.0,44.0,45.0,42.0,1,26-50
5f2bcad8ba0be61b0c1e9f46,RACINE ALTERNATIVE LEARNING,34.0,26.0,24.0,26.0,28.0,1,26-50
5f2bcad8ba0be61b0c1e9f47,REAL SCHOOL,17.0,27.0,14.0,48.0,26.0,1,26-50
5f2bcad8ba0be61b0c1e9f48,WALDEN III ,6.0,21.0,8.0,19.0,14.0,0,0-25
5f2bcad8ba0be61b0c1e9f49,BULL EARLY EDUCATION CENTER,33.0,23.0,13.0,39.0,27.0,1,26-50
5f2bcad8ba0be61b0c1e9f4a,OLYMPIA BROWN ELEMENTARY SCHOOL,58.0,27.0,56.0,58.0,50.0,1,26-50
5f2bcad8ba0be61b0c1e9f4b,RUSD MONTESSORI,21.0,28.0,36.0,31.0,29.0,1,26-50
5f2bcad8ba0be61b0c1e9f4c,SC JOHNSON,36.0,23.0,24.0,32.0,29.0,1,26-50
