SCHOOL_ID,SCHOOL_NAME,ACTIVE_USER_SCORE_SCHOOL,USAGE_SCORE_SCHOOL,CWP_SCORE_SCHOOL,RE_SCORE_SCHOOL,E_SCORE_SCHOOL,ACTIVE_SCHOOL,SCORE_TYPE
5f2bca1fba0be61b0c1cb7e0,ALLEN (ELLA B.) ELEMENTARY,43.0,31.0,53.0,49.0,44.0,1.0,26-50
5f2bca20ba0be61b0c1cb8f5,ARROYO VISTA CHARTER,0.0,38.0,0.0,25.0,16.0,0.0,0-25
5f2bca20ba0be61b0c1cbc58,CASILLAS (JOSEPH) ELEMENTARY,20.0,35.0,17.0,53.0,31.0,1.0,26-50
5f2bca20ba0be61b0c1cbc62,CASTLE PARK ELEMENTARY,46.0,32.0,54.0,70.0,50.0,1.0,26-50
5f2bca21ba0be61b0c1cbd74,CHULA VISTA HILLS ELEMENTARY,38.0,36.0,52.0,65.0,48.0,1.0,26-50
5f2bca21ba0be61b0c1cbd75,CHULA VISTA LEARNING COMMUNITY CHARTER,0.0,0.0,0.0,0.0,0.0,0.0,0-25
5f2bca21ba0be61b0c1cbdae,CLEAR VIEW CHARTER,33.0,32.0,45.0,65.0,44.0,1.0,26-50
5f2bca21ba0be61b0c1cbe64,COOK (HAZEL GOES) ELEMENTARY,0.0,0.0,0.0,0.0,0.0,0.0,0-25
5f2bca21ba0be61b0c1cc008,DISCOVERY CHARTER,8.0,24.0,14.0,17.0,16.0,1.0,0-25
5f2bca22ba0be61b0c1cc0ce,EASTLAKE ELEMENTARY,42.0,28.0,47.0,57.0,44.0,1.0,26-50
5f2bca22ba0be61b0c1cc282,FEASTER (MAE L.) CHARTER,0.0,32.0,18.0,46.0,24.0,0.0,0-25
5f2bca22ba0be61b0c1cc2a5,FINNEY (MYRTLE S.) ELEMENTARY,10.0,26.0,21.0,48.0,26.0,1.0,26-50
5f2bca23ba0be61b0c1cc53d,HALECREST ELEMENTARY,29.0,30.0,59.0,65.0,46.0,1.0,26-50
5f2bca23ba0be61b0c1cc56e,HARBORSIDE ELEMENTARY,0.0,0.0,3.0,50.0,13.0,0.0,0-25
5f2bca23ba0be61b0c1cc5c2,HEDENKAMP (ANNE AND WILLIAM) ELEMENTARY,36.0,33.0,50.0,61.0,45.0,1.0,26-50
5f2bca23ba0be61b0c1cc600,HERITAGE ELEMENTARY,43.0,34.0,63.0,74.0,54.0,1.0,51-75
5f2bca23ba0be61b0c1cc663,HILLTOP DRIVE ELEMENTARY,38.0,26.0,39.0,40.0,36.0,1.0,26-50
5f2bca25ba0be61b0c1cc8c1,JUAREZ-LINCOLN ELEMENTARY,0.0,38.0,0.0,18.0,14.0,0.0,0-25
5f2bca25ba0be61b0c1cc907,KELLOGG (KARL H.) ELEMENTARY,12.0,36.0,7.0,41.0,24.0,1.0,0-25
