SCHOOL_ID,SCHOOL_NAME,ACTIVE_USER_SCORE_SCHOOL,USAGE_SCORE_SCHOOL,CWP_SCORE_SCHOOL,RE_SCORE_SCHOOL,E_SCORE_SCHOOL,ACTIVE_SCHOOL,SCORE_TYPE
5f2bca4bba0be61b0c1d44c0,ADVANCED TECHNOLOGY ACADEMY-MIDDLE SCHOOL,0.0,0.0,0.0,0.0,0.0,0.0,0-25
5f2bca4bba0be61b0c1d44ea,ALLENDALE ELEMENTARY SCHOOL,0.0,0.0,7.0,10.0,4.0,1.0,0-25
5f2bca4cba0be61b0c1d45c5,BENNETT ELEMENTARY SCHOOL,0.0,38.0,1.0,8.0,12.0,1.0,0-25
5f2bca4dba0be61b0c1d49c1,FORDSON HIGH SCHOOL,0.0,0.0,0.0,10.0,2.0,0.0,0-25
5f2bca4dba0be61b0c1d4a19,GARDNER ELEMENTARY SCHOOL,17.0,0.0,13.0,92.0,30.0,1.0,26-50
5f2bca4dba0be61b0c1d4b34,HENRY FORD ELEMENTARY SCHOOL,0.0,0.0,0.0,0.0,0.0,0.0,0-25
5f2bca4fba0be61b0c1d4e1d,MCCOLLOUGH ELEMENTARY SCHOOL,0.0,0.0,0.0,0.0,0.0,0.0,0-25
5f2bca4fba0be61b0c1d4e43,MELVINDALE HIGH SCHOOL,0.0,0.0,1.0,10.0,3.0,1.0,0-25
5f2bca4fba0be61b0c1d4e86,MILLER ELEMENTARY SCHOOL,20.0,25.0,20.0,43.0,27.0,1.0,26-50
5f2bca4fba0be61b0c1d5123,ROGERS EARLY ELEMENTARY SCHOOL,0.0,0.0,0.0,0.0,0.0,0.0,0-25
5f2bca50ba0be61b0c1d5169,SALINA ELEMENTARY P - 3,33.0,38.0,17.0,30.0,30.0,1.0,26-50
5f2bca50ba0be61b0c1d516a,SALINA INTERMEDIATE 4 - 8,0.0,0.0,0.0,0.0,0.0,0.0,0-25
5f2bca50ba0be61b0c1d530c,UNIS MIDDLE SCHOOL,0.0,38.0,2.0,28.0,17.0,1.0,0-25
5f2bca50ba0be61b0c1d5425,WILLIAM FORD ELEMENTARY SCHOOL,0.0,0.0,0.0,10.0,2.0,0.0,0-25
5f2bcad8ba0be61b0c1ea015,DIXON EDUCATIONAL LEARNING ACADEMY,29.0,24.0,17.0,33.0,26.0,1.0,26-50
5f2bcad8ba0be61b0c1ea0da,HENDERSON ACADEMY,0.0,56.0,0.0,17.0,18.0,0.0,0-25
5f572ed31b1d8b39055eb0f9,PRIEST ELEMENTARY SCHOOL,9.0,37.0,12.0,32.0,22.0,1.0,0-25
5f623311525cd364f527b5b5,ROBERTO CLEMENTE LEARNING,43.0,27.0,28.0,37.0,34.0,1.0,26-50
5f623551525cd364f527b694,EARHART ELEMENTARY,50.0,39.0,23.0,29.0,35.0,1.0,26-50
