,DISTRICT NAME,MONTH,USER ENGAGEMENT,FAMILY ENGAGEMENT,SCHOOL COUNT,PRACTICE
0,Ogden school district,1,5.0,0.0,17,2574.0
1,Ogden school district,2,5.0,0.0,17,2574.0
2,Ogden school district,3,7.0,0.0,17,2574.0
3,Ogden school district,4,1.0,0.0,17,2574.0
4,Ogden school district,5,2.0,0.0,17,2574.0
5,Ogden school district,6,1.0,0.0,17,2574.0
6,Ogden school district,7,0.0,0.0,17,2574.0
7,Ogden school district,8,2.0,50.0,17,2574.0
8,Ogden school district,9,8.0,0.0,17,2574.0
9,Ogden school district,10,12.0,0.0,17,2574.0
10,Ogden school district,11,10.0,0.0,17,2574.0
11,Ogden school district,12,11.0,0.0,17,2574.0
12,Clarksville-Montgomery County School System,1,15.0,0.0,37,25612.0
13,Clarksville-Montgomery County School System,2,15.0,0.0,37,25612.0
14,Clarksville-Montgomery County School System,3,12.0,22.0,37,25612.0
15,Clarksville-Montgomery County School System,4,0.0,20.0,37,25612.0
16,Clarksville-Montgomery County School System,5,0.0,8.0,37,25612.0
17,Clarksville-Montgomery County School System,6,0.0,8.0,37,25612.0
18,Clarksville-Montgomery County School System,7,0.0,0.0,37,25612.0
19,Clarksville-Montgomery County School System,8,1.0,7.0,37,25612.0
20,Clarksville-Montgomery County School System,9,11.0,7.0,37,25612.0
21,Clarksville-Montgomery County School System,10,9.0,12.0,37,25612.0
22,Clarksville-Montgomery County School System,11,7.0,2.0,37,25612.0
23,Clarksville-Montgomery County School System,12,6.0,0.0,37,25612.0
24,Westfield Public School District,1,15.0,0.0,11,6280.0
25,Westfield Public School District,2,15.0,0.0,11,6280.0
26,Westfield Public School District,3,14.0,45.0,11,6280.0
27,Westfield Public School District,4,0.0,25.0,11,6280.0
28,Westfield Public School District,5,1.0,6.0,11,6280.0
29,Westfield Public School District,6,1.0,3.0,11,6280.0
30,Westfield Public School District,7,0.0,3.0,11,6280.0
31,Westfield Public School District,8,1.0,6.0,11,6280.0
32,Westfield Public School District,9,15.0,3.0,11,6280.0
33,Westfield Public School District,10,13.0,0.0,11,6280.0
34,Westfield Public School District,11,13.0,3.0,11,6280.0
35,Westfield Public School District,12,14.0,0.0,11,6280.0
