,0
0,5f2bca14ba0be61b0c1ca23b
1,5f2bca14ba0be61b0c1ca273
2,5f2bca14ba0be61b0c1ca2a0
3,5f2bca14ba0be61b0c1ca2a6
4,5f2bca14ba0be61b0c1ca2a8
5,5f2bca14ba0be61b0c1ca405
6,5f2bca14ba0be61b0c1ca484
7,5f2bca14ba0be61b0c1ca4f0
8,5f2bca14ba0be61b0c1ca504
9,5f2bca16ba0be61b0c1ca598
10,5f2bca16ba0be61b0c1ca755
11,5f2bca16ba0be61b0c1ca7bc
12,5f2bca16ba0be61b0c1ca827
13,5f2bca16ba0be61b0c1ca853
14,5f2bca18ba0be61b0c1cab33
15,5f2bca18ba0be61b0c1cab81
16,5f2bca18ba0be61b0c1cac69
17,5f2bca18ba0be61b0c1cacbc
18,5f2bca18ba0be61b0c1cacbd
19,5f2bca1aba0be61b0c1cadfb
20,5f2bca1cba0be61b0c1cb2bf
21,5f2bca1dba0be61b0c1cb30e
22,5f2bca1dba0be61b0c1cb363
23,5f2bca1fba0be61b0c1cb50a
24,5f2bca1fba0be61b0c1cb607
25,5f2bca1fba0be61b0c1cb701
26,5f2bca20ba0be61b0c1cb93d
27,5f2bca20ba0be61b0c1cba18
28,5f2bca20ba0be61b0c1cba24
29,5f2bca20ba0be61b0c1cba2a
30,5f2bca20ba0be61b0c1cbb6f
31,5f2bca20ba0be61b0c1cbbab
32,5f2bca21ba0be61b0c1cbe0f
33,5f2bca21ba0be61b0c1cbfda
34,5f2bca22ba0be61b0c1cc2c3
35,5f2bca23ba0be61b0c1cc510
36,5f2bca23ba0be61b0c1cc51e
37,5f2bca23ba0be61b0c1cc62c
38,5f2bca23ba0be61b0c1cc691
39,5f2bca23ba0be61b0c1cc6b3
40,5f2bca25ba0be61b0c1cc9b4
41,5f2bca25ba0be61b0c1ccb0f
42,5f2bca25ba0be61b0c1ccc55
43,5f2bca26ba0be61b0c1cccd8
44,5f2bca26ba0be61b0c1cce50
45,5f2bca26ba0be61b0c1ccf2a
46,5f2bca26ba0be61b0c1ccf6b
47,5f2bca27ba0be61b0c1cd255
48,5f2bca27ba0be61b0c1cd275
49,5f2bca27ba0be61b0c1cd353
50,5f2bca27ba0be61b0c1cd383
51,5f2bca28ba0be61b0c1cd499
52,5f2bca28ba0be61b0c1cd4a1
53,5f2bca28ba0be61b0c1cd4fa
54,5f2bca28ba0be61b0c1cd552
55,5f2bca29ba0be61b0c1cd776
56,5f2bca29ba0be61b0c1cd789
57,5f2bca29ba0be61b0c1cd7a7
58,5f2bca2aba0be61b0c1cd835
59,5f2bca2cba0be61b0c1cdc61
60,5f2bca2cba0be61b0c1cddba
61,5f2bca2cba0be61b0c1cddee
62,5f2bca2cba0be61b0c1cde94
63,5f2bca2cba0be61b0c1cdf1e
64,5f2bca2dba0be61b0c1ce1d1
65,5f2bca2dba0be61b0c1ce2fe
66,5f2bca2eba0be61b0c1ce424
67,5f2bca2fba0be61b0c1ce805
68,5f2bca2fba0be61b0c1ce9a1
69,5f2bca30ba0be61b0c1cec01
70,5f2bca30ba0be61b0c1cecd3
71,5f2bca30ba0be61b0c1ced55
72,5f2bca30ba0be61b0c1cee5c
73,5f2bca31ba0be61b0c1cf0b2
74,5f2bca31ba0be61b0c1cf31a
75,5f2bca31ba0be61b0c1cf35c
76,5f2bca32ba0be61b0c1cf3fb
77,5f2bca32ba0be61b0c1cf4ee
78,5f2bca32ba0be61b0c1cf4f3
79,5f2bca32ba0be61b0c1cf5c7
80,5f2bca32ba0be61b0c1cf64b
81,5f2bca32ba0be61b0c1cf6c7
82,5f2bca33ba0be61b0c1cf801
83,5f2bca33ba0be61b0c1cfae0
84,5f2bca34ba0be61b0c1cfbb0
85,5f2bca34ba0be61b0c1cfc0a
86,5f2bca34ba0be61b0c1cfcaf
87,5f2bca34ba0be61b0c1cfcdc
88,5f2bca36ba0be61b0c1d000c
89,5f2bca37ba0be61b0c1d0352
90,5f2bca37ba0be61b0c1d0474
91,5f2bca37ba0be61b0c1d04c6
92,5f2bca38ba0be61b0c1d0aba
93,5f2bca39ba0be61b0c1d0b03
94,5f2bca39ba0be61b0c1d0c96
95,5f2bca39ba0be61b0c1d0cff
96,5f2bca39ba0be61b0c1d0d25
97,5f2bca39ba0be61b0c1d0d3d
98,5f2bca39ba0be61b0c1d0e68
99,5f2bca3aba0be61b0c1d0f4c
100,5f2bca3aba0be61b0c1d11fa
101,5f2bca3bba0be61b0c1d1499
102,5f2bca3bba0be61b0c1d154a
103,5f2bca3bba0be61b0c1d158d
104,5f2bca3dba0be61b0c1d194c
105,5f2bca3eba0be61b0c1d1ae9
106,5f2bca3eba0be61b0c1d1b24
107,5f2bca3eba0be61b0c1d1bdf
108,5f2bca3fba0be61b0c1d1e8e
109,5f2bca3fba0be61b0c1d2134
110,5f2bca41ba0be61b0c1d25c4
111,5f2bca43ba0be61b0c1d2da9
112,5f2bca44ba0be61b0c1d2f8c
113,5f2bca44ba0be61b0c1d30b4
114,5f2bca45ba0be61b0c1d34c9
115,5f2bca46ba0be61b0c1d3644
116,5f2bca46ba0be61b0c1d36e0
117,5f2bca46ba0be61b0c1d370b
118,5f2bca46ba0be61b0c1d388a
119,5f2bca46ba0be61b0c1d38a4
120,5f2bca47ba0be61b0c1d39d9
121,5f2bca47ba0be61b0c1d39e2
122,5f2bca47ba0be61b0c1d39f2
123,5f2bca48ba0be61b0c1d3a73
124,5f2bca48ba0be61b0c1d3ac3
125,5f2bca48ba0be61b0c1d3aeb
126,5f2bca48ba0be61b0c1d3b0a
127,5f2bca48ba0be61b0c1d3b31
128,5f2bca48ba0be61b0c1d3b56
129,5f2bca48ba0be61b0c1d3b90
130,5f2bca48ba0be61b0c1d3c29
