,_id,CATEGORY,DASH_CATEGORY
176,5f2bca20ba0be61b0c1cb927,LAUSD,lifetime
365,5f2bca22ba0be61b0c1cc1f0,LAUSD,lifetime
468,5f2bca23ba0be61b0c1cc6a1,Mt. Lebanon School District,lifetime
523,5f2bca25ba0be61b0c1cc968,NULL,lifetime
607,5f2bca26ba0be61b0c1ccd53,NULL,lifetime
773,5f2bca29ba0be61b0c1cd65b,NULL,lifetime
1026,5f2bca30ba0be61b0c1cece9,Hillsborough County,lifetime
1332,5f2bca32ba0be61b0c1cf592,Hillsborough County,lifetime
1472,5f2bca33ba0be61b0c1cf91e,Hillsborough County,lifetime
1480,5f2bca33ba0be61b0c1cf93e,Pinellas County Schools,lifetime
1656,5f2bca37ba0be61b0c1d06ea,NULL,lifetime
1705,5f2bca39ba0be61b0c1d0e99,NULL,lifetime
1829,5f2bca46ba0be61b0c1d3676,NULL,lifetime
1868,5f2bca46ba0be61b0c1d3847,NULL,lifetime
1983,5f2bca4bba0be61b0c1d4515,BLUE,lifetime
2381,5f2bca6bba0be61b0c1d9bc6,NULL,lifetime
2583,5f2bca73ba0be61b0c1daba9,OHIO,lifetime
2669,5f2bca79ba0be61b0c1dc33a,Mt. Lebanon School District,lifetime
2670,5f2bca79ba0be61b0c1dc38b,Mt. Lebanon School District,lifetime
2675,5f2bca79ba0be61b0c1dc4d3,Mt. Lebanon School District,lifetime
2678,5f2bca79ba0be61b0c1dc52d,Mt. Lebanon School District,lifetime
2680,5f2bca79ba0be61b0c1dc5ae,Mt. Lebanon School District,lifetime
2699,5f2bca7aba0be61b0c1dca0d,Mt. Lebanon School District,lifetime
2825,5f2bca90ba0be61b0c1dee74,NULL,lifetime
3344,5f2bcad6ba0be61b0c1e98da,NULL,lifetime
3379,5f2bcad6ba0be61b0c1e9949,NULL,lifetime
3397,5f2bcad7ba0be61b0c1e9978,NULL,lifetime
3399,5f2bcad7ba0be61b0c1e997d,Mt. Lebanon School District,lifetime
3534,5f2bcad7ba0be61b0c1e9a3b,NULL,lifetime
3549,5f2bcad7ba0be61b0c1e9a4c,NULL,lifetime
3564,5f2bcad7ba0be61b0c1e9a63,NULL,lifetime
3576,5f2bcad7ba0be61b0c1e9a6f,NULL,lifetime
3577,5f2bcad7ba0be61b0c1e9a70,NULL,lifetime
3610,5f2bcad7ba0be61b0c1e9a94,BLUE,lifetime
5047,600ef7de6397ad0d0cd6b75e,,lifetime
