District,p_of_Active_Users,Active_Usage,Recent_Engagement,Consistent_Weekly_Practice,District_Engagement_Score,Month
Agawam School district,18,52,85,6,40,January
Agawam School district,18,47,85,6,39,February
Agawam School district,22,48,87,7,41,March
Agawam School district,22,49,89,7,42,April
Agawam School district,24,49,90,9,43,May
Agawam School district,24,56,89,8,44,June
Agawam School district,24,43,89,7,41,July
Belleville School District,53,49,91,60,63,January
Belleville School District,55,44,91,60,63,February
Belleville School District,56,53,92,63,66,March
Belleville School District,58,43,93,60,63,April
Belleville School District,58,59,94,60,68,May
Belleville School District,58,44,93,57,63,June
Belleville School District,58,47,93,51,62,July
Broward County Public Schools,19,51,89,5,41,January
Broward County Public Schools,19,46,89,6,40,February
Broward County Public Schools,19,51,90,5,41,March
Broward County Public Schools,20,50,90,5,41,April
Broward County Public Schools,20,50,91,5,42,May
Broward County Public Schools,21,53,90,6,42,June
Broward County Public Schools,20,51,90,4,41,July
Champlain Valley School District,17,0,67,17,25,February
Champlain Valley School District,6,66,71,16,40,March
Champlain Valley School District,6,46,72,17,35,April
Champlain Valley School District,9,53,73,10,36,May
Champlain Valley School District,6,53,75,8,36,June
Champlain Valley School District,6,41,75,6,32,July
Chico Unified School District,19,30,91,5,36,January
Chico Unified School District,19,45,91,6,40,February
Chico Unified School District,21,51,92,8,43,March
Chico Unified School District,19,43,93,6,40,April
Chico Unified School District,20,24,93,6,35,May
Chico Unified School District,20,24,93,5,36,June
Chico Unified School District,20,41,94,5,40,July
Chula Vista Elementary School District,22,49,88,7,41,January
Chula Vista Elementary School District,20,46,76,21,41,February
Chula Vista Elementary School District,24,46,81,29,45,March
Chula Vista Elementary School District,28,50,82,32,48,April
Chula Vista Elementary School District,30,50,86,32,49,May
Chula Vista Elementary School District,30,51,86,26,48,June
Chula Vista Elementary School District,30,47,83,24,46,July
Clarksville-Montgomery County School System,23,50,91,6,43,January
Clarksville-Montgomery County School System,23,47,91,6,42,February
Clarksville-Montgomery County School System,23,52,93,6,43,March
Clarksville-Montgomery County School System,24,50,94,6,43,April
Clarksville-Montgomery County School System,24,40,94,6,41,May
Clarksville-Montgomery County School System,24,29,93,5,38,June
Clarksville-Montgomery County School System,24,29,93,5,38,July
Community Consolidated School District 89,52,58,93,18,55,January
Community Consolidated School District 89,52,58,94,17,55,February
Community Consolidated School District 89,52,58,93,17,55,March
Community Consolidated School District 89,52,75,95,17,59,April
Community Consolidated School District 89,52,83,95,16,62,May
Community Consolidated School District 89,52,35,92,16,49,June
Community Consolidated School District 89,52,43,93,15,51,July
Comox Valley School District,20,51,88,5,41,January
Comox Valley School District,22,53,89,5,42,March
Comox Valley School District,22,49,89,5,41,April
Comox Valley School District,22,53,90,5,43,May
Comox Valley School District,22,28,90,5,36,June
