,0
0,5f2bca13ba0be61b0c1ca1b5
1,5f2bca13ba0be61b0c1ca1d0
2,5f2bca14ba0be61b0c1ca26d
3,5f2bca14ba0be61b0c1ca29d
4,5f2bca14ba0be61b0c1ca2bd
5,5f2bca14ba0be61b0c1ca351
6,5f2bca14ba0be61b0c1ca401
7,5f2bca14ba0be61b0c1ca46b
8,5f2bca16ba0be61b0c1ca891
9,5f2bca18ba0be61b0c1ca9de
10,5f2bca18ba0be61b0c1caa61
11,5f2bca18ba0be61b0c1caae5
12,5f2bca18ba0be61b0c1caae7
13,5f2bca18ba0be61b0c1cab24
14,5f2bca18ba0be61b0c1cabd2
15,5f2bca18ba0be61b0c1cac07
16,5f2bca18ba0be61b0c1cace1
17,5f2bca1aba0be61b0c1cad3e
18,5f2bca1aba0be61b0c1cad59
19,5f2bca1aba0be61b0c1cae24
20,5f2bca1aba0be61b0c1cae83
21,5f2bca1aba0be61b0c1caeb4
22,5f2bca1aba0be61b0c1caf14
23,5f2bca1aba0be61b0c1cafab
24,5f2bca1aba0be61b0c1cafad
25,5f2bca1aba0be61b0c1cafbe
26,5f2bca1cba0be61b0c1cb168
27,5f2bca1cba0be61b0c1cb243
28,5f2bca1dba0be61b0c1cb2e6
29,5f2bca1dba0be61b0c1cb2fa
30,5f2bca1dba0be61b0c1cb3c8
31,5f2bca1dba0be61b0c1cb4be
32,5f2bca1dba0be61b0c1cb4ee
33,5f2bca1dba0be61b0c1cb4f7
34,5f2bca1dba0be61b0c1cb4fc
35,5f2bca1fba0be61b0c1cb54c
36,5f2bca1fba0be61b0c1cb5ae
37,5f2bca1fba0be61b0c1cb5d9
38,5f2bca1fba0be61b0c1cb5f1
39,5f2bca1fba0be61b0c1cb7bf
40,5f2bca1fba0be61b0c1cb7cb
41,5f2bca1fba0be61b0c1cb7e5
42,5f2bca20ba0be61b0c1cb8f2
43,5f2bca20ba0be61b0c1cb981
44,5f2bca20ba0be61b0c1cb9f9
45,5f2bca20ba0be61b0c1cba44
46,5f2bca20ba0be61b0c1cba47
47,5f2bca20ba0be61b0c1cbab3
48,5f2bca20ba0be61b0c1cbae4
49,5f2bca20ba0be61b0c1cbb56
50,5f2bca20ba0be61b0c1cbba3
51,5f2bca20ba0be61b0c1cbc04
52,5f2bca20ba0be61b0c1cbc29
53,5f2bca20ba0be61b0c1cbc6a
54,5f2bca20ba0be61b0c1cbc6d
55,5f2bca20ba0be61b0c1cbc87
56,5f2bca21ba0be61b0c1cbd0f
57,5f2bca21ba0be61b0c1cbd92
58,5f2bca21ba0be61b0c1cbe53
59,5f2bca21ba0be61b0c1cbf2a
60,5f2bca21ba0be61b0c1cbf2f
61,5f2bca21ba0be61b0c1cbf30
62,5f2bca21ba0be61b0c1cbfc8
63,5f2bca21ba0be61b0c1cbfee
64,5f2bca21ba0be61b0c1cc05f
65,5f2bca21ba0be61b0c1cc079
66,5f2bca22ba0be61b0c1cc0ea
67,5f2bca22ba0be61b0c1cc138
68,5f2bca22ba0be61b0c1cc16e
69,5f2bca22ba0be61b0c1cc183
70,5f2bca22ba0be61b0c1cc1d6
71,5f2bca22ba0be61b0c1cc23f
72,5f2bca22ba0be61b0c1cc333
73,5f2bca22ba0be61b0c1cc43f
74,5f2bca23ba0be61b0c1cc4fe
75,5f2bca23ba0be61b0c1cc684
76,5f2bca23ba0be61b0c1cc6be
77,5f2bca23ba0be61b0c1cc713
78,5f2bca24ba0be61b0c1cc830
79,5f2bca25ba0be61b0c1cc9fb
80,5f2bca25ba0be61b0c1ccb6c
81,5f2bca25ba0be61b0c1ccbd5
82,5f2bca25ba0be61b0c1ccc61
83,5f2bca25ba0be61b0c1ccc63
84,5f2bca26ba0be61b0c1ccc8f
85,5f2bca26ba0be61b0c1ccce3
86,5f2bca26ba0be61b0c1ccd1a
87,5f2bca26ba0be61b0c1ccd9e
88,5f2bca26ba0be61b0c1cceae
89,5f2bca26ba0be61b0c1ccef5
90,5f2bca26ba0be61b0c1ccffc
91,5f2bca26ba0be61b0c1cd047
92,5f2bca27ba0be61b0c1cd069
93,5f2bca27ba0be61b0c1cd1de
94,5f2bca27ba0be61b0c1cd2b3
95,5f2bca27ba0be61b0c1cd34c
96,5f2bca27ba0be61b0c1cd393
97,5f2bca29ba0be61b0c1cd57d
98,5f2bca29ba0be61b0c1cd592
99,5f2bca29ba0be61b0c1cd5e6
100,5f2bca29ba0be61b0c1cd60b
101,5f2bca29ba0be61b0c1cd631
102,5f2bca29ba0be61b0c1cd755
103,5f2bca2aba0be61b0c1cd857
104,5f2bca2aba0be61b0c1cd8c5
105,5f2bca2aba0be61b0c1cd8e6
106,5f2bca2aba0be61b0c1cd91f
107,5f2bca2aba0be61b0c1cd986
108,5f2bca2aba0be61b0c1cda89
109,5f2bca2aba0be61b0c1cdb9a
110,5f2bca2cba0be61b0c1cdc48
111,5f2bca2cba0be61b0c1cdd25
112,5f2bca2cba0be61b0c1cdd8d
113,5f2bca2cba0be61b0c1cddb9
114,5f2bca2cba0be61b0c1cdde4
115,5f2bca2cba0be61b0c1cde2e
116,5f2bca2cba0be61b0c1cde3c
117,5f2bca2cba0be61b0c1cdeeb
118,5f2bca2cba0be61b0c1cdf06
119,5f2bca2cba0be61b0c1cdf13
120,5f2bca2dba0be61b0c1ce0d4
121,5f2bca2dba0be61b0c1ce0f4
122,5f2bca2dba0be61b0c1ce266
123,5f2bca2dba0be61b0c1ce352
124,5f2bca2dba0be61b0c1ce36f
125,5f2bca2eba0be61b0c1ce5a1
126,5f2bca2fba0be61b0c1ce831
127,5f2bca2fba0be61b0c1ce9a0
128,5f2bca30ba0be61b0c1cecc1
129,5f2bca30ba0be61b0c1ced6f
130,5f2bca30ba0be61b0c1ceda4
131,5f2bca30ba0be61b0c1cedd1
132,5f2bca30ba0be61b0c1cee2a
133,5f2bca30ba0be61b0c1cee70
134,5f2bca30ba0be61b0c1cee77
135,5f2bca30ba0be61b0c1cee98
136,5f2bca30ba0be61b0c1ceed1
137,5f2bca30ba0be61b0c1cef4f
138,5f2bca31ba0be61b0c1cf0e4
139,5f2bca31ba0be61b0c1cf12c
140,5f2bca31ba0be61b0c1cf1c3
141,5f2bca31ba0be61b0c1cf1f1
142,5f2bca31ba0be61b0c1cf27f
