,0
0,5f2bca13ba0be61b0c1ca187
1,5f2bca13ba0be61b0c1ca1b5
2,5f2bca13ba0be61b0c1ca1d0
3,5f2bca14ba0be61b0c1ca26d
4,5f2bca14ba0be61b0c1ca29d
5,5f2bca14ba0be61b0c1ca2bd
6,5f2bca14ba0be61b0c1ca351
7,5f2bca14ba0be61b0c1ca401
8,5f2bca14ba0be61b0c1ca41e
9,5f2bca16ba0be61b0c1ca658
10,5f2bca16ba0be61b0c1ca891
11,5f2bca18ba0be61b0c1ca9de
12,5f2bca18ba0be61b0c1caa61
13,5f2bca18ba0be61b0c1caae5
14,5f2bca18ba0be61b0c1caae7
15,5f2bca18ba0be61b0c1cab24
16,5f2bca18ba0be61b0c1cab46
17,5f2bca18ba0be61b0c1cabd2
18,5f2bca18ba0be61b0c1cac07
19,5f2bca18ba0be61b0c1cac98
20,5f2bca18ba0be61b0c1cace1
21,5f2bca1aba0be61b0c1cad3e
22,5f2bca1aba0be61b0c1cad59
23,5f2bca1aba0be61b0c1cad85
24,5f2bca1aba0be61b0c1cade1
25,5f2bca1aba0be61b0c1cae24
26,5f2bca1aba0be61b0c1cae83
27,5f2bca1aba0be61b0c1caf14
28,5f2bca1aba0be61b0c1cafab
29,5f2bca1aba0be61b0c1cafad
30,5f2bca1cba0be61b0c1cb168
31,5f2bca1cba0be61b0c1cb243
32,5f2bca1dba0be61b0c1cb2e6
33,5f2bca1dba0be61b0c1cb2fa
34,5f2bca1dba0be61b0c1cb3c8
35,5f2bca1dba0be61b0c1cb4be
36,5f2bca1dba0be61b0c1cb4ee
37,5f2bca1dba0be61b0c1cb4f7
38,5f2bca1dba0be61b0c1cb4fc
39,5f2bca1fba0be61b0c1cb50c
40,5f2bca1fba0be61b0c1cb54c
41,5f2bca1fba0be61b0c1cb54d
42,5f2bca1fba0be61b0c1cb5ae
43,5f2bca1fba0be61b0c1cb5d9
44,5f2bca1fba0be61b0c1cb7cb
45,5f2bca20ba0be61b0c1cb8f2
46,5f2bca20ba0be61b0c1cb981
47,5f2bca20ba0be61b0c1cb9f9
48,5f2bca20ba0be61b0c1cba44
49,5f2bca20ba0be61b0c1cba47
50,5f2bca20ba0be61b0c1cbab3
51,5f2bca20ba0be61b0c1cbae4
52,5f2bca20ba0be61b0c1cbb56
53,5f2bca20ba0be61b0c1cbb7b
54,5f2bca20ba0be61b0c1cbba3
55,5f2bca20ba0be61b0c1cbbfb
56,5f2bca20ba0be61b0c1cbc04
57,5f2bca20ba0be61b0c1cbc29
58,5f2bca20ba0be61b0c1cbc6a
59,5f2bca20ba0be61b0c1cbc6d
60,5f2bca20ba0be61b0c1cbc87
61,5f2bca21ba0be61b0c1cbd0f
62,5f2bca21ba0be61b0c1cbe53
63,5f2bca21ba0be61b0c1cbf2a
64,5f2bca21ba0be61b0c1cbf2e
65,5f2bca21ba0be61b0c1cbf2f
66,5f2bca21ba0be61b0c1cbf30
67,5f2bca21ba0be61b0c1cbfc8
68,5f2bca21ba0be61b0c1cbfee
69,5f2bca21ba0be61b0c1cc079
70,5f2bca22ba0be61b0c1cc0ea
71,5f2bca22ba0be61b0c1cc16e
72,5f2bca22ba0be61b0c1cc183
73,5f2bca22ba0be61b0c1cc1d6
74,5f2bca23ba0be61b0c1cc4fe
75,5f2bca23ba0be61b0c1cc541
76,5f2bca23ba0be61b0c1cc7ad
77,5f2bca23ba0be61b0c1cc7ae
78,5f2bca23ba0be61b0c1cc7b5
79,5f2bca25ba0be61b0c1cc9fb
80,5f2bca25ba0be61b0c1ccb6c
81,5f2bca25ba0be61b0c1ccbd5
82,5f2bca25ba0be61b0c1ccc63
83,5f2bca26ba0be61b0c1ccd1a
84,5f2bca26ba0be61b0c1ccd9e
85,5f2bca26ba0be61b0c1cceae
