,COMMENT,Positivity,Negativity,Neutrality,Compound
0,"great
",1.0,0.0,0.0,0.6249
1,This one's my favorite!!,0.544,0.0,0.456,0.555
3,Nice to stretch,0.583,0.0,0.417,0.4215
4,"It was nice to think back when I had gut instinct, it's good to know to trust yourself.  It was fun to explore my sixth sense.  It was nice remembering all my senses. ",0.359,0.0,0.641,0.9337
5,Bien.,0.0,0.0,1.0,0.0
6,Happy,1.0,0.0,0.0,0.5719
7,"Good method of relaxation
",0.759,0.0,0.241,0.743
8,Mindful,0.0,0.0,1.0,0.0
9,Relaxing,1.0,0.0,0.0,0.4939
10,very peaceful,0.777,0.0,0.223,0.5413
11,"good pracatice
",0.744,0.0,0.256,0.4404
12,Gracias por todo. Me gusta la cancion. Me gusto mucho. Gracias por explorar. Gracias por la musica. ,0.0,0.0,1.0,0.0
13,calm,1.0,0.0,0.0,0.3182
14,"very calming
",0.75,0.0,0.25,0.4576
15,Love it!,0.818,0.0,0.182,0.6696
16,anxious feeling with short breaths,0.231,0.308,0.462,-0.128
17,Getting better at not judging myself but simply redirecting my thoughts back to my breath.  The self-judgement is hard habit to break for this 60  year old!,0.078,0.055,0.867,0.1635
18,"Awesome!
",1.0,0.0,0.0,0.6588
19,"For someone who has spent her life learning about ""self-love"" and how to implement it, this was a very helpful meditation.  Thank you.",0.227,0.0,0.773,0.7056
20,it made me feel better ,0.42,0.0,0.58,0.4404
21,Tired. Relaxed.,0.525,0.475,0.0,0.0772
22,we learn to focus on what we can fix,0.0,0.0,1.0,0.0
23,"Scholars report feeling calm, relaxed, and mindfull.",0.636,0.0,0.364,0.7184
24,It mad my student's body respond to certain sounds....,0.171,0.26,0.569,-0.2732
25,Felt Good,0.744,0.0,0.256,0.4404
26,good,1.0,0.0,0.0,0.4404
27,I felt like it was nice because I like noticing connections. It was nice to have a bunch of connections with people you don't even know. This practice felt nice because I learned more about how to help the earth and people.,0.335,0.0,0.665,0.9337
28,Felt Good,0.744,0.0,0.256,0.4404
29,Mindful,0.0,0.0,1.0,0.0
31,This one led to some interesting discussions regarding awareness of the body.  Very cool :),0.417,0.0,0.583,0.8211
32,    ggg,0.0,0.0,1.0,0.0
33,it was ok,0.524,0.0,0.476,0.296
34,Felt Good,0.744,0.0,0.256,0.4404
36,Felt Good,0.744,0.0,0.256,0.4404
37,ok,1.0,0.0,0.0,0.296
38,Calm,1.0,0.0,0.0,0.3182
39,it was cool,0.535,0.0,0.465,0.3182
40,Mindful,0.0,0.0,1.0,0.0
41,"This activity helped us to vanish our worries, stay focused and relax our minds.",0.285,0.145,0.57,0.4019
42,"happy
",1.0,0.0,0.0,0.5719
