,0
0,5f2bca14ba0be61b0c1ca4d0
1,5f2bca16ba0be61b0c1ca58d
2,5f2bca16ba0be61b0c1ca652
3,5f2bca16ba0be61b0c1ca6cb
4,5f2bca18ba0be61b0c1cab41
5,5f2bca1aba0be61b0c1cad64
6,5f2bca1aba0be61b0c1cad90
7,5f2bca1aba0be61b0c1caefa
8,5f2bca1aba0be61b0c1caf19
9,5f2bca1aba0be61b0c1cb0a7
10,5f2bca1cba0be61b0c1cb19d
11,5f2bca1cba0be61b0c1cb224
12,5f2bca1fba0be61b0c1cb65a
13,5f2bca1fba0be61b0c1cb662
14,5f2bca1fba0be61b0c1cb752
15,5f2bca1fba0be61b0c1cb75a
16,5f2bca1fba0be61b0c1cb7d6
17,5f2bca1fba0be61b0c1cb7d9
18,5f2bca1fba0be61b0c1cb80e
19,5f2bca1fba0be61b0c1cb844
20,5f2bca1fba0be61b0c1cb87d
21,5f2bca1fba0be61b0c1cb8a0
22,5f2bca20ba0be61b0c1cb95e
23,5f2bca20ba0be61b0c1cb98b
24,5f2bca20ba0be61b0c1cb9bc
25,5f2bca20ba0be61b0c1cb9d6
26,5f2bca20ba0be61b0c1cba06
27,5f2bca20ba0be61b0c1cba12
28,5f2bca20ba0be61b0c1cba42
29,5f2bca20ba0be61b0c1cba45
30,5f2bca20ba0be61b0c1cba99
31,5f2bca20ba0be61b0c1cbad8
32,5f2bca20ba0be61b0c1cbb47
33,5f2bca20ba0be61b0c1cbb78
34,5f2bca20ba0be61b0c1cbb8e
35,5f2bca20ba0be61b0c1cbbda
36,5f2bca20ba0be61b0c1cbbdc
37,5f2bca20ba0be61b0c1cbbdf
38,5f2bca20ba0be61b0c1cbc36
39,5f2bca20ba0be61b0c1cbc77
40,5f2bca21ba0be61b0c1cbd30
41,5f2bca21ba0be61b0c1cbd56
42,5f2bca21ba0be61b0c1cbde0
43,5f2bca21ba0be61b0c1cbde9
44,5f2bca21ba0be61b0c1cbe0e
45,5f2bca21ba0be61b0c1cbe69
46,5f2bca21ba0be61b0c1cbe77
47,5f2bca21ba0be61b0c1cbe81
48,5f2bca21ba0be61b0c1cbec6
49,5f2bca21ba0be61b0c1cbef4
50,5f2bca21ba0be61b0c1cbf30
51,5f2bca21ba0be61b0c1cbf39
52,5f2bca21ba0be61b0c1cbf44
53,5f2bca21ba0be61b0c1cbf48
54,5f2bca21ba0be61b0c1cbf6d
55,5f2bca21ba0be61b0c1cbfa0
56,5f2bca21ba0be61b0c1cc041
57,5f2bca21ba0be61b0c1cc097
58,5f2bca22ba0be61b0c1cc0d1
59,5f2bca22ba0be61b0c1cc247
60,5f2bca22ba0be61b0c1cc24a
61,5f2bca22ba0be61b0c1cc276
62,5f2bca22ba0be61b0c1cc27b
63,5f2bca22ba0be61b0c1cc28a
64,5f2bca22ba0be61b0c1cc2f1
65,5f2bca22ba0be61b0c1cc31e
66,5f2bca22ba0be61b0c1cc343
67,5f2bca22ba0be61b0c1cc3c8
68,5f2bca22ba0be61b0c1cc3e4
69,5f2bca22ba0be61b0c1cc43f
70,5f2bca22ba0be61b0c1cc468
71,5f2bca22ba0be61b0c1cc47c
72,5f2bca23ba0be61b0c1cc4cc
73,5f2bca23ba0be61b0c1cc53b
74,5f2bca23ba0be61b0c1cc59e
75,5f2bca23ba0be61b0c1cc5a0
76,5f2bca23ba0be61b0c1cc5af
77,5f2bca23ba0be61b0c1cc5c5
78,5f2bca23ba0be61b0c1cc5d7
79,5f2bca23ba0be61b0c1cc748
80,5f2bca23ba0be61b0c1cc761
81,5f2bca23ba0be61b0c1cc763
82,5f2bca23ba0be61b0c1cc77b
83,5f2bca23ba0be61b0c1cc79f
84,5f2bca23ba0be61b0c1cc7ad
85,5f2bca24ba0be61b0c1cc7d7
86,5f2bca24ba0be61b0c1cc81b
87,5f2bca24ba0be61b0c1cc836
88,5f2bca25ba0be61b0c1cc8a9
89,5f2bca25ba0be61b0c1cc8f3
90,5f2bca25ba0be61b0c1cc9a2
91,5f2bca25ba0be61b0c1cc9a7
92,5f2bca25ba0be61b0c1cca2e
93,5f2bca25ba0be61b0c1cca62
94,5f2bca25ba0be61b0c1ccacf
95,5f2bca25ba0be61b0c1ccb62
96,5f2bca25ba0be61b0c1ccb75
97,5f2bca25ba0be61b0c1ccb78
98,5f2bca25ba0be61b0c1ccb7c
99,5f2bca25ba0be61b0c1ccb8d
100,5f2bca25ba0be61b0c1ccb99
101,5f2bca25ba0be61b0c1ccba4
102,5f2bca25ba0be61b0c1ccbb1
103,5f2bca25ba0be61b0c1ccbcb
104,5f2bca26ba0be61b0c1ccc7a
105,5f2bca26ba0be61b0c1ccc8b
106,5f2bca26ba0be61b0c1cccbd
107,5f2bca26ba0be61b0c1cccc6
108,5f2bca26ba0be61b0c1cccc7
109,5f2bca26ba0be61b0c1ccce3
110,5f2bca26ba0be61b0c1ccd13
111,5f2bca26ba0be61b0c1ccd3d
112,5f2bca26ba0be61b0c1ccd60
113,5f2bca26ba0be61b0c1cceae
114,5f2bca26ba0be61b0c1cced1
115,5f2bca26ba0be61b0c1ccf46
116,5f2bca26ba0be61b0c1ccf82
117,5f2bca26ba0be61b0c1ccf99
118,5f2bca26ba0be61b0c1ccfb0
119,5f2bca26ba0be61b0c1ccfc8
120,5f2bca26ba0be61b0c1ccfd5
121,5f2bca27ba0be61b0c1cd0b1
122,5f2bca27ba0be61b0c1cd0cb
123,5f2bca27ba0be61b0c1cd0d9
124,5f2bca27ba0be61b0c1cd116
125,5f2bca27ba0be61b0c1cd13c
126,5f2bca27ba0be61b0c1cd18b
127,5f2bca27ba0be61b0c1cd1be
128,5f2bca27ba0be61b0c1cd1c0
129,5f2bca27ba0be61b0c1cd20e
