,0
0,5f2bca13ba0be61b0c1ca1b5
1,5f2bca13ba0be61b0c1ca1d0
2,5f2bca14ba0be61b0c1ca26d
3,5f2bca14ba0be61b0c1ca29d
4,5f2bca14ba0be61b0c1ca351
5,5f2bca14ba0be61b0c1ca46b
6,5f2bca16ba0be61b0c1ca891
7,5f2bca18ba0be61b0c1caa61
8,5f2bca18ba0be61b0c1cace1
9,5f2bca1aba0be61b0c1cad3e
10,5f2bca1aba0be61b0c1cad59
11,5f2bca1aba0be61b0c1cafbe
12,5f2bca1cba0be61b0c1cb168
13,5f2bca1dba0be61b0c1cb2e6
14,5f2bca1dba0be61b0c1cb4fc
15,5f2bca1fba0be61b0c1cb831
16,5f2bca20ba0be61b0c1cb8f2
17,5f2bca20ba0be61b0c1cb981
18,5f2bca20ba0be61b0c1cb9f9
19,5f2bca20ba0be61b0c1cba44
20,5f2bca20ba0be61b0c1cba47
21,5f2bca20ba0be61b0c1cbab3
22,5f2bca20ba0be61b0c1cbae4
23,5f2bca20ba0be61b0c1cbc6a
24,5f2bca20ba0be61b0c1cbc87
25,5f2bca21ba0be61b0c1cbd0f
26,5f2bca21ba0be61b0c1cbf2a
27,5f2bca21ba0be61b0c1cbfc8
28,5f2bca21ba0be61b0c1cbfee
29,5f2bca21ba0be61b0c1cc079
30,5f2bca22ba0be61b0c1cc0ea
31,5f2bca22ba0be61b0c1cc16e
32,5f2bca22ba0be61b0c1cc183
33,5f2bca22ba0be61b0c1cc1d6
34,5f2bca22ba0be61b0c1cc401
35,5f2bca23ba0be61b0c1cc6be
36,5f2bca24ba0be61b0c1cc825
37,5f2bca25ba0be61b0c1cc96f
38,5f2bca25ba0be61b0c1cca8d
39,5f2bca25ba0be61b0c1ccaa2
40,5f2bca25ba0be61b0c1ccb6c
41,5f2bca25ba0be61b0c1ccbd5
42,5f2bca25ba0be61b0c1ccc61
43,5f2bca25ba0be61b0c1ccc63
44,5f2bca26ba0be61b0c1ccd1a
45,5f2bca26ba0be61b0c1cce64
46,5f2bca26ba0be61b0c1ccfab
47,5f2bca26ba0be61b0c1ccffc
48,5f2bca27ba0be61b0c1cd069
49,5f2bca27ba0be61b0c1cd1de
50,5f2bca27ba0be61b0c1cd376
51,5f2bca27ba0be61b0c1cd393
52,5f2bca27ba0be61b0c1cd3de
53,5f2bca28ba0be61b0c1cd4cd
54,5f2bca28ba0be61b0c1cd553
55,5f2bca29ba0be61b0c1cd57d
56,5f2bca29ba0be61b0c1cd592
57,5f2bca29ba0be61b0c1cd631
58,5f2bca2aba0be61b0c1cd857
59,5f2bca2aba0be61b0c1cd91f
60,5f2bca2aba0be61b0c1cda89
61,5f2bca2aba0be61b0c1cdb9a
62,5f2bca2aba0be61b0c1cdbda
63,5f2bca2cba0be61b0c1cdd8d
64,5f2bca2cba0be61b0c1cddb9
65,5f2bca2cba0be61b0c1cdeeb
66,5f2bca2cba0be61b0c1cdf06
67,5f2bca2cba0be61b0c1cdf13
68,5f2bca2dba0be61b0c1ce0d4
69,5f2bca2dba0be61b0c1ce266
70,5f2bca2dba0be61b0c1ce352
71,5f2bca2fba0be61b0c1ce831
72,5f2bca2fba0be61b0c1ce9a0
73,5f2bca30ba0be61b0c1cecc1
74,5f2bca30ba0be61b0c1ceda4
75,5f2bca30ba0be61b0c1cee70
76,5f2bca30ba0be61b0c1cee77
77,5f2bca30ba0be61b0c1cee98
78,5f2bca30ba0be61b0c1ceed1
79,5f2bca30ba0be61b0c1cef4f
80,5f2bca31ba0be61b0c1cf12c
81,5f2bca31ba0be61b0c1cf1f1
82,5f2bca31ba0be61b0c1cf369
83,5f2bca32ba0be61b0c1cf721
84,5f2bca32ba0be61b0c1cf755
85,5f2bca33ba0be61b0c1cf76b
86,5f2bca33ba0be61b0c1cf832
87,5f2bca33ba0be61b0c1cf8c7
88,5f2bca33ba0be61b0c1cf8dc
89,5f2bca33ba0be61b0c1cf8e2
90,5f2bca33ba0be61b0c1cf9a7
91,5f2bca33ba0be61b0c1cfa99
92,5f2bca36ba0be61b0c1cff81
93,5f2bca37ba0be61b0c1d0644
94,5f2bca37ba0be61b0c1d065a
95,5f2bca38ba0be61b0c1d083c
96,5f2bca38ba0be61b0c1d0930
97,5f2bca39ba0be61b0c1d0c5d
98,5f2bca39ba0be61b0c1d0c8d
99,5f2bca39ba0be61b0c1d0e15
100,5f2bca3aba0be61b0c1d0fbf
101,5f2bca3aba0be61b0c1d110e
102,5f2bca3dba0be61b0c1d1886
103,5f2bca3eba0be61b0c1d1afd
104,5f2bca3eba0be61b0c1d1d1e
105,5f2bca3eba0be61b0c1d1d92
106,5f2bca3eba0be61b0c1d1dfd
107,5f2bca3fba0be61b0c1d2146
108,5f2bca3fba0be61b0c1d2241
109,5f2bca3fba0be61b0c1d2250
110,5f2bca42ba0be61b0c1d2673
111,5f2bca43ba0be61b0c1d2a08
112,5f2bca45ba0be61b0c1d3542
113,5f2bca45ba0be61b0c1d359b
114,5f2bca45ba0be61b0c1d35cf
115,5f2bca46ba0be61b0c1d37af
116,5f2bca46ba0be61b0c1d37fa
117,5f2bca46ba0be61b0c1d396e
118,5f2bca4bba0be61b0c1d41ac
119,5f2bca4bba0be61b0c1d4561
120,5f2bca4cba0be61b0c1d46c8
121,5f2bca4dba0be61b0c1d49dc
122,5f2bca4dba0be61b0c1d4ace
123,5f2bca4dba0be61b0c1d4c35
124,5f2bca4fba0be61b0c1d4efb
125,5f2bca4fba0be61b0c1d50f4
126,5f2bca50ba0be61b0c1d531b
127,5f2bca57ba0be61b0c1d6254
128,5f2bca57ba0be61b0c1d6455
129,5f2bca5aba0be61b0c1d6a65
130,5f2bca5cba0be61b0c1d6fe2
131,5f2bca5cba0be61b0c1d7411
132,5f2bca5dba0be61b0c1d7719
133,5f2bca5dba0be61b0c1d7848
134,5f2bca5eba0be61b0c1d78a1
135,5f2bca5eba0be61b0c1d7a2f
136,5f2bca61ba0be61b0c1d7d1d
137,5f2bca61ba0be61b0c1d7fd8
138,5f2bca63ba0be61b0c1d84c9
139,5f2bca63ba0be61b0c1d86fe
140,5f2bca65ba0be61b0c1d8e9b
141,5f2bca68ba0be61b0c1d9178
142,5f2bca69ba0be61b0c1d96b3
143,5f2bca6aba0be61b0c1d98ea
