,_id,CATEGORY,DASH_CATEGORY
176,5f2bca20ba0be61b0c1cb927,LAUSD,lifetime
375,5f2bca22ba0be61b0c1cc1f0,LAUSD,lifetime
488,5f2bca23ba0be61b0c1cc6a1,Mt. Lebanon School District,lifetime
546,5f2bca25ba0be61b0c1cc968,NULL,lifetime
635,5f2bca26ba0be61b0c1ccd53,NULL,lifetime
809,5f2bca29ba0be61b0c1cd65b,NULL,lifetime
1074,5f2bca30ba0be61b0c1cece9,Hillsborough County,lifetime
1382,5f2bca32ba0be61b0c1cf592,Hillsborough County,lifetime
1525,5f2bca33ba0be61b0c1cf91e,Hillsborough County,lifetime
1534,5f2bca33ba0be61b0c1cf93e,Pinellas County Schools,lifetime
1712,5f2bca37ba0be61b0c1d06ea,NULL,lifetime
1761,5f2bca39ba0be61b0c1d0e99,NULL,lifetime
1886,5f2bca46ba0be61b0c1d3676,NULL,lifetime
1924,5f2bca46ba0be61b0c1d3847,NULL,lifetime
2035,5f2bca4bba0be61b0c1d4515,BLUE,lifetime
2421,5f2bca6bba0be61b0c1d9bc6,NULL,lifetime
2622,5f2bca73ba0be61b0c1daba9,OHIO,lifetime
2705,5f2bca79ba0be61b0c1dc33a,Mt. Lebanon School District,lifetime
2706,5f2bca79ba0be61b0c1dc38b,Mt. Lebanon School District,lifetime
2711,5f2bca79ba0be61b0c1dc4d3,Mt. Lebanon School District,lifetime
2714,5f2bca79ba0be61b0c1dc52d,Mt. Lebanon School District,lifetime
2716,5f2bca79ba0be61b0c1dc5ae,Mt. Lebanon School District,lifetime
2735,5f2bca7aba0be61b0c1dca0d,Mt. Lebanon School District,lifetime
2862,5f2bca90ba0be61b0c1dee74,NULL,lifetime
3385,5f2bcad6ba0be61b0c1e98da,NULL,lifetime
3420,5f2bcad6ba0be61b0c1e9949,NULL,lifetime
3438,5f2bcad7ba0be61b0c1e9978,NULL,lifetime
3440,5f2bcad7ba0be61b0c1e997d,Mt. Lebanon School District,lifetime
3577,5f2bcad7ba0be61b0c1e9a3b,NULL,lifetime
3592,5f2bcad7ba0be61b0c1e9a4c,NULL,lifetime
3607,5f2bcad7ba0be61b0c1e9a63,NULL,lifetime
3619,5f2bcad7ba0be61b0c1e9a6f,NULL,lifetime
3620,5f2bcad7ba0be61b0c1e9a70,NULL,lifetime
3653,5f2bcad7ba0be61b0c1e9a94,BLUE,lifetime
5138,600ef7de6397ad0d0cd6b75e,,lifetime
